Eponym,Eponym_easy,Eponym_easy_yr,Topic,Who,Surname,Region_A1,RegionOfEponym_A1,Author_1_Role,Operation,Author_1,Year,CityOfEponym_A1,Continent_A1,CountryOfEponym_A1,CountryOfEponym_easy,ISO_country_A1
Aaron sign,Aaron sign,1913 - Aaron sign,General,Charles Dettie Aaron,Aaron,Michigan,Michigan,,Appendicectomy,Charles Dettie Aaron,1913,Detroit,North America,USA,USA,USA
Adamkiewicz Artery of ,Artery of Adamkiewicz,1881 - Artery of Adamkiewicz,Vascular;Neurosurgery;Radiology,Albert Wojciech Adamkiewicz,Adamkiewicz,Krakow,Krakow,Doctor_Pathologist,AAA repair,Albert Wojciech Adamkiewicz,1881,Krakow,Europe,Poland,Poland,POL
Blackledge lymphoma staging system,Blackledge lymphoma staging system,1979 - Blackledge lymphoma staging system,Oesophagogastric;Colorectal,George Blackledge,Blackledge,England,Manchester,Doctor_Physician,Gastrectomy;Small bowel resection;Colectomy,George Blackledge,1979,Manchester,Europe,UK,UK,GBR
Blatchford score,Blatchford score,2000 - Blatchford score,Oesophagogastric,Oliver Blatchford,Blatchford,Scotland,Glasgow,Doctor,Endoscopy,Oliver Blatchford,2000,Glasgow,Europe,UK,UK,GBR
Burkitt's lymphoma,Burkitt's lymphoma,1958 - Burkitt's lymphoma,General,Denis Parsons Burkitt,Burkitt,Buganda,Kampala,Doctor_Surgeon,,Denis Parsons Burkitt,1958,Kampala,Africa,Uganda,Uganda,UGA
Cajal interstitial cells of,Interstitial cells of Cajal,1911 - Interstitial cells of Cajal,Oesophagogastric,Santiago Ramón y Cajal,Cajal,Comunidad de Madrid ,Madrid,Doctor_Pathologist,Gastrectomy,Santiago Ramón y Cajal,1911,Madrid,Europe,Spain,Spain,ESP
Calot's triangle,Calot's triangle,1891 - Calot's triangle,HPB,Jean-François Calot,Calot,Île-de-France,Paris,Doctor_Surgeon,Cholecystectomy,Jean-Francois Calot,1891,Paris,Europe,France,France,FRA
Cameron lesions,Cameron lesions,1986 - Cameron lesions,Oesophagogastric,Alan J Cameron,Cameron,Minnesota,Minnesota,Doctor_Physician,Endoscopy,Alan J Cameron,1986,Rochester,North America,USA,USA,USA
Crohn's disease,Crohn's disease,1932 - Crohn's disease,Colorectal;General;Emergency,Burrill Bernard Crohn,Crohn,New York,New York,,Appendicectomy;Colectomy;Anal surgery;Small bowel resection,Burrill Bernard Crohn,1932,New York,North America,USA,USA,USA
Cullen's sign,Cullen's sign,1918 - Cullen's sign,HPB;General;Emergency;Obstetrics,Thomas S Cullen,Cullen,Maryland,Maryland,Doctor_Obstetrician,,Thomas S Cullen,1918,Baltimore,North America,USA,USA,USA
